rbd,program_code,program_track,program_specialty_sector,program_specialty_name,program_gender,program_school_day
3618,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3638,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3639,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3640,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
3641,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3642,131000000111,General,General academic,Ciclo General / Sin información,Girls,Morning
3643,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3656,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3657,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3662,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
3711,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
3713,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3718,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3719,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3723,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3724,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
3724,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
3728,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3730,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3733,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3735,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3739,151052010113,Specialized,Metalworking and mechanics,Mecánica Automotriz,Girls,Full day
3739,151052010123,Specialized,Metalworking and mechanics,Mecánica Automotriz,Boys,Full day
3739,171072007113,Specialized,Agriculture,Agropecuaria (con mención),Girls,Full day
3739,171072007123,Specialized,Agriculture,Agropecuaria (con mención),Boys,Full day
3742,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3795,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3796,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3797,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3800,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3802,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3823,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3865,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
3871,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3885,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3886,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
3887,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3888,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3907,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3909,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3940,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3941,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3960,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3961,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3976,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3977,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
3998,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4025,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4032,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4034,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4043,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4049,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4052,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4084,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4102,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4124,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4140,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4141,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4160,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4162,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4163,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4164,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4165,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4166,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
4190,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4195,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4262,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4263,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4269,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4270,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4277,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4287,151053014133,Specialized,Electricity,Electricidad,Mixed,Full day
4287,171072007133,Specialized,Agriculture,Agropecuaria (con mención),Mixed,Full day
4288,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4289,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4292,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4307,131000000333,General,General academic,Ciclo General / Sin información,Mixed,Full day
4309,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4310,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4324,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4331,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4333,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4353,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4382,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4392,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4404,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4408,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4446,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
4451,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4451,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
4483,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4500,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4505,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4507,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4509,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4530,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4531,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4533,131000000111,General,General academic,Ciclo General / Sin información,Girls,Morning
4534,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4535,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4536,131000000111,General,General academic,Ciclo General / Sin información,Girls,Morning
4553,131000000111,General,General academic,Ciclo General / Sin información,Girls,Morning
4555,131000000121,General,General academic,Ciclo General / Sin información,Boys,Morning
4557,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4559,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4560,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4561,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4562,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4563,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4564,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4565,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4571,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4572,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4574,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
4575,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4577,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4585,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4588,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4589,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4591,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4616,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4617,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4630,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
4631,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4636,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4644,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4646,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4655,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4656,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4659,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4662,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4663,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
4663,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
4664,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4666,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4667,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4669,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4672,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4677,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4691,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4700,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4702,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4703,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4706,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4707,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4708,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4709,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4712,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4715,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4717,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4733,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
4760,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4762,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4778,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4779,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4782,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
4785,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4790,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4805,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4806,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4822,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4824,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4825,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4829,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4830,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4865,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4868,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4870,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4871,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4897,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4922,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4925,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4948,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4949,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4951,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4952,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4958,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4969,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4973,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4975,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
4977,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4982,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
4983,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4984,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5002,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
5021,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5024,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5026,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5039,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5048,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5057,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5082,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
5104,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
5105,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
5109,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5113,131000000333,General,General academic,Ciclo General / Sin información,Mixed,Full day
5122,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5126,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5131,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5150,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5153,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5155,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5215,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5216,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5218,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5219,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5264,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5265,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5267,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5270,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5274,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5282,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5315,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5323,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5343,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5344,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5374,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5393,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5394,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5434,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5435,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5439,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5440,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5465,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5467,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5507,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5509,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5565,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5566,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5567,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5568,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
5569,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5570,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5574,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5590,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5597,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5613,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5652,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
5653,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5654,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5655,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
5656,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5658,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
5658,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
5659,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
5661,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5662,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
5663,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5666,131000000132,General,General academic,Ciclo General / Sin información,Mixed,Afternoon
5669,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
5670,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5697,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5703,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5713,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
5720,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5806,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5813,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5814,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5816,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5823,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
5879,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5897,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5921,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5923,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5957,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5959,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5992,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6007,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6027,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6051,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6052,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6070,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6084,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6085,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6112,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6113,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6115,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6118,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6119,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6120,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6122,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6135,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
6163,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6188,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6210,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6223,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6230,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6252,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6253,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6267,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6269,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6270,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6301,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6302,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6336,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6348,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6397,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6398,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6452,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6465,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6496,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6497,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6500,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6584,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6585,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6586,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6641,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6643,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6644,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6649,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6650,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6708,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6751,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6752,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6753,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6754,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6755,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6757,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6766,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6773,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6826,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
6828,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6829,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
6830,131000000111,General,General academic,Ciclo General / Sin información,Girls,Morning
6832,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6834,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6835,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
6836,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
6846,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6853,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6895,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6896,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6897,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6899,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6922,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6925,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6929,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
6983,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7004,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7006,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7015,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7031,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7044,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7049,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7085,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7102,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7128,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7129,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7135,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7181,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7183,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7200,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7202,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7203,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7231,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7236,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7240,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7276,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7299,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7325,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7326,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7328,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7329,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7331,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7388,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7401,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7441,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7470,161061003133,Specialized,Food services,Gastronomía (con mención),Mixed,Full day
7470,171072007133,Specialized,Agriculture,Agropecuaria (con mención),Mixed,Full day
7505,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7536,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7542,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7544,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7572,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7578,171072007133,Specialized,Agriculture,Agropecuaria (con mención),Mixed,Full day
7614,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7625,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7626,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7627,131000000123,General,General academic,Ciclo General / Sin información,Boys,Full day
7628,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
7629,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7639,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7651,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7699,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7701,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7705,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
7706,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7707,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
7709,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
7720,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7722,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7724,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7740,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7743,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7744,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7753,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7760,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7772,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
